page,clicks,impressions,ctr,position
https://mikes-house-clearance.co.uk/,11,229,4.8,32.9
https://mikes-house-clearance.co.uk/services,9,97,9.28,6.2
https://mikes-house-clearance.co.uk/services/house-clearance/pensilva-pl14,3,4,75.0,2
https://mikes-house-clearance.co.uk/services/house-clearance/newquay-tr7,2,2,100,13.5
https://mikes-house-clearance.co.uk/services/rubbish-clearance/pensilva-pl14,2,7,28.57,3.6
https://mikes-house-clearance.co.uk/contact,1,49,2.04,12.8
https://mikes-house-clearance.co.uk/house-clearance/axbridge-bs26/,1,1,100,2
https://mikes-house-clearance.co.uk/house-clearance/langport-ta10/,1,3,33.33,43
https://mikes-house-clearance.co.uk/services/bereavement-probate-clearance/cubert-tr8/,1,2,50.0,9
https://mikes-house-clearance.co.uk/services/garage-loft-basement-clearance/polruan-pl23,1,4,25.0,29.5
https://mikes-house-clearance.co.uk/services/garage-shed-clearance/ilminster-ta19/,1,2,50.0,4.5
https://mikes-house-clearance.co.uk/services/garden-outbuilding/lostwithiel-pl22,1,2,50.0,12
https://mikes-house-clearance.co.uk/services/garden-outbuilding/penryn-tr10,1,12,8.33,14.1
https://mikes-house-clearance.co.uk/services/hoarder-clearance/dartmouth-tq6/,1,2,50.0,11
https://mikes-house-clearance.co.uk/services/home-removals/dulverton-ta22/,1,1,100,2
https://mikes-house-clearance.co.uk/services/home-removals/hayle-tr27,1,3,33.33,8.3
https://mikes-house-clearance.co.uk/services/home-removals/st-columb-major-tr9,1,2,50.0,2
https://mikes-house-clearance.co.uk/services/house-clearance/dobwalls-pl14,1,3,33.33,5
https://mikes-house-clearance.co.uk/services/house-clearance/redruth-tr15,1,4,25.0,6
https://mikes-house-clearance.co.uk/services/house-clearance/wiveliscombe-ta4/,1,1,100,8
https://mikes-house-clearance.co.uk/services/office-clearances/liskeard-pl14,1,1,100,2
https://mikes-house-clearance.co.uk/services/rubbish-clearance/illogan-tr15,1,3,33.33,4.7
https://mikes-house-clearance.co.uk/services/rubbish-clearance/midsomer-norton-ba3/,1,1,100,4
https://mikes-house-clearance.co.uk/services/rubbish-clearance/mullion-tr12,1,2,50.0,8
https://mikes-house-clearance.co.uk/services/rubbish-clearance/pelynt-pl13,1,2,50.0,5.5
https://mikes-house-clearance.co.uk/about-us,0,20,0,3.5
https://mikes-house-clearance.co.uk/cookie-policy,0,9,0,7.6
https://mikes-house-clearance.co.uk/house-clearance,0,4,0,9.2
https://mikes-house-clearance.co.uk/house-clearance/appledore-ex39/,0,2,0,88
https://mikes-house-clearance.co.uk/house-clearance/axminster-ex13/,0,4,0,91
https://mikes-house-clearance.co.uk/house-clearance/blackwater-tr4/,0,1,0,7
https://mikes-house-clearance.co.uk/house-clearance/bridgwater-ta6/,0,1,0,45
https://mikes-house-clearance.co.uk/house-clearance/brixham-tq5/,0,1,0,20
https://mikes-house-clearance.co.uk/house-clearance/brixton-pl8/,0,3,0,38.3
https://mikes-house-clearance.co.uk/house-clearance/broadhempston-tq9/,0,1,0,8
https://mikes-house-clearance.co.uk/house-clearance/callington-pl17/,0,2,0,59.5
https://mikes-house-clearance.co.uk/house-clearance/carbis-bay-tr26/,0,1,0,10
https://mikes-house-clearance.co.uk/house-clearance/chacewater-tr4/,0,5,0,62.2
https://mikes-house-clearance.co.uk/house-clearance/clevedon-bs21/,0,1,0,81
https://mikes-house-clearance.co.uk/house-clearance/colyford-ex24/,0,1,0,60
https://mikes-house-clearance.co.uk/house-clearance/cullompton-ex15/,0,1,0,81
https://mikes-house-clearance.co.uk/house-clearance/delabole-pl33/,0,3,0,8.3
https://mikes-house-clearance.co.uk/house-clearance/downderry-pl11/,0,2,0,6
https://mikes-house-clearance.co.uk/house-clearance/frome-ba11/,0,1,0,63
https://mikes-house-clearance.co.uk/house-clearance/goonhavern-tr4/,0,1,0,56
https://mikes-house-clearance.co.uk/house-clearance/hartland-ex39/,0,1,0,49
https://mikes-house-clearance.co.uk/house-clearance/hatherleigh-ex20/,0,1,0,15
https://mikes-house-clearance.co.uk/house-clearance/ilminster-ta19/,0,8,0,70.1
https://mikes-house-clearance.co.uk/house-clearance/kenton-ex6/,0,1,0,74
