url,verdict,coverage,robots,crawled
https://mikes-house-clearance.co.uk/,PASS,Submitted and indexed,ALLOWED,2026-06-10T03:48:21Z
https://mikes-house-clearance.co.uk/README/,PASS,Submitted and indexed,ALLOWED,2026-06-12T19:14:48Z
https://mikes-house-clearance.co.uk/cookie-policy/,NEUTRAL,Discovered - currently not indexed,ROBOTS_TXT_STATE_UNSPECIFIED,never
https://mikes-house-clearance.co.uk/areas/,PASS,Submitted and indexed,ALLOWED,2026-06-02T11:11:35Z
https://mikes-house-clearance.co.uk/privacy-policy/,PASS,Submitted and indexed,ALLOWED,2026-06-18T21:51:21Z
https://mikes-house-clearance.co.uk/thank-you/,PASS,Submitted and indexed,ALLOWED,2026-06-02T00:35:52Z
https://mikes-house-clearance.co.uk/about-us/,NEUTRAL,URL is unknown to Google,ROBOTS_TXT_STATE_UNSPECIFIED,never
https://mikes-house-clearance.co.uk/services/,PASS,Submitted and indexed,ALLOWED,2026-06-16T22:48:26Z
https://mikes-house-clearance.co.uk/contact-us/,NEUTRAL,Discovered - currently not indexed,ROBOTS_TXT_STATE_UNSPECIFIED,never
https://mikes-house-clearance.co.uk/terms-conditions/,NEUTRAL,Discovered - currently not indexed,ROBOTS_TXT_STATE_UNSPECIFIED,never
https://mikes-house-clearance.co.uk/footer/,PASS,Submitted and indexed,ALLOWED,2026-06-12T15:15:24Z
https://mikes-house-clearance.co.uk/before-after-gallery/,PASS,Submitted and indexed,ALLOWED,2026-06-09T16:47:21Z
https://mikes-house-clearance.co.uk/top-banner/,PASS,Submitted and indexed,ALLOWED,2026-06-12T19:43:50Z
https://mikes-house-clearance.co.uk/location-service-card/,PASS,Submitted and indexed,ALLOWED,2026-06-11T19:16:30Z
https://mikes-house-clearance.co.uk/location-before-after/,PASS,Submitted and indexed,ALLOWED,2026-06-12T03:18:36Z
https://mikes-house-clearance.co.uk/google-tag/,PASS,Submitted and indexed,ALLOWED,2026-06-11T15:14:38Z
https://mikes-house-clearance.co.uk/location-map/,PASS,Submitted and indexed,ALLOWED,2026-06-11T17:13:29Z
